Book,Authors,Jornal,Year,Publisher,Link
GESTÃO DA DIVERSIDADE EM CONTEXTOS ORGANIZACIONAIS,"AP da Silva, MG da Costa Tenório",de Gestão,2022,desafioonline.ufms.br,https://desafioonline.ufms.br/index.php/EIGEDIN/article/view/17146
Percepção dos concluintes de um curso de administração sobre a gestão da diversidade de gênero nas organizações.,"HB Ceribeli, EJO Souza, TPR Torres ",2021,2021,repositorio.ufop.br,https://www.repositorio.ufop.br/handle/123456789/14951
Diversity Management in Organizations in Brazil: A Literature Review/Gestão da Diversidade nas Organizações no Brasil: Uma Revisão de Literatura,A dos Santos Gomes Filho,ID on line. Revista,2020,idonline.emnuvens.com.br,https://idonline.emnuvens.com.br/id/article/view/2513/0
Políticas institucionais de gestão da diversidade: uma análise da Universidade Federal de Uberlândia,MM Siqueira ,2017,2017,repositorio.ufu.br,http://repositorio.ufu.br/handle/123456789/19795
GESTÃO DA DIVERSIDADE À LUZ DE UMA VIVÊNCIA TRAVESTI,"PK Dias, WM Morais, KGS de Castro",Revista Brasileira,2021,rbeo.emnuvens.com.br,https://rbeo.emnuvens.com.br/rbeo/article/view/383
Influência da cultura organizacional na gestão da diversidade em contexto laboral: o efeito mediador do suporte do supervisor,MÂA Melchior ,2023,2023,comum.rcaap.pt,https://comum.rcaap.pt/handle/10400.26/43861
A Gestão da Diversidade enquanto Motor de um Processo de Mudança Cultural,CPFP Araújo ,2013,2013,repositorio,https://repositorio-aberto.up.pt/bitstream/10216/70281/2/25163.pdf
A interferência de um programa de liderança para mulheres e gestão da diversidade de gênero: o caso de uma empresa do ramo financeiro,"G Gomes, JS Renner",Conhecimento & Diversidade,2022,revistas.unilasalle.edu.br,https://revistas.unilasalle.edu.br/index.php/conhecimento_diversidade/article/view/9596
Gestão da diversidade e inclusão das pessoas com deficiências: as tecnologias de informação e comunicação como recurso pedagógico nas escolas municipais do …,SA Costa ,2020,2020,repositorioaberto.uab.pt,https://repositorioaberto.uab.pt/handle/10400.2/10150
Gestão da diversidade cultural: um estudo exploratório,TB Soares ,2021,2021,comum.rcaap.pt,https://comum.rcaap.pt/handle/10400.26/35622
Gestão da diversidade: uma análise das práticas de diversidade e inclusão (D&I) no Maranhão,GP SILVA ,2022,2022,monografias.ufma.br,https://monografias.ufma.br/jspui/handle/123456789/5465
A percepção dos colaboradores do hotelaria Accor sobre as políticas de gestão da diversidade adotadas pela empresa,C Silva ,2015,2015,app.uff.br,https://app.uff.br/riuff;/bitstream/handle/1/1725/374%20-%20Catiane%20da%20Silva.pdf?sequence=1&isAllowed=y
Mentoring e gestão da diversidade em empresas globais,"HCFDN Maia, WA El",Aouar,Brito…,"Comunicação &…, 2020",https://www.revistas.ufg.br/ci/article/view/62527
A influência da gestão da diversidade na produtividade em organizações do ramo da construção civil,"PMM da Silva, MP da Rocha Neto, LMP Brito",Exacta,2016,periodicos.uninove.br,https://periodicos.uninove.br/exacta/article/view/6196
Europa 92: a gestão da diversidade social,C Carbone,Revista de Administração de Empresas,1991,SciELO Brasil,https://www.scielo.br/j/rae/a/XyNTNWDjvk53XZZ7DGjbqPR/?lang=pt
management: the inclusion of intellectual disabilities in a Public Federation of Brazil/As praticas de recursos humanos para a gestao da diversidade: a inclusao de …,"N Maccali, PSS Kuabara, ARW Takahashi",Revista de,2015,go.gale.com,https://go.gale.com/ps/i.do?id=GALE%7CA441492127&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=15186776&p=HRCA&sw=w
A percepção dos funcionários sobre as políticas de gestão da diversidade de uma instituição financeira,"TC Neri, SG Costa",Encontro de Gestão de Pessoas e Relações de,2009,lume.ufrgs.br,https://www.lume.ufrgs.br/bitstream/handle/10183/18196/000725147.pdf?sequence=1
Curso de extensão e aperfeiçoamento em gestão cultural: diversidade cultural e desenvolvimento Eixo II,"SCL FERNANDES, S SANTIAGO, DM CARDOSO ",2014,2014,livroaberto.ufpa.br,http://livroaberto.ufpa.br/jspui/handle/prefix/583
Comunicação e resistência nas organizações empresariais: a (im) possibilidade da gestão da diversidade,MC Oliveira ,2021,2021,lume.ufrgs.br,https://www.lume.ufrgs.br/handle/10183/255632
"Educação de jovens e adultos: políticas públicas, formação de professores, gestão e diversidade multicultural","A Amorim, TR Dantas, MS Aquino ",2017,2017,repositorio.ufba.br,https://repositorio.ufba.br/handle/ri/27196
GESTÃO DA DIVERSIDADE RELIGIOSA NO AMBIENTE DE TRABALHO: uma ferramenta para evitar a violência por motivos religiosos no âmbito laboral,L Silva,UNITAS,UNITAS,"Revista Eletrônica de Teologia e Ciências das…, 2017",https://revista.fuv.edu.br/index.php/unitas/article/view/695
Identidade Cultural e gestão da diversidade na educação. Os filhos de imigrantes na escola portuguesa,"VJL García, JMM Justo",En,En,"clave pedagógica, 2013",http://uhu.es/publicaciones/ojs/index.php/xxi/article/view/1279
A GESTÃO DA DIVERSIDADE EA INCLUSÃO DIGITAL NO ESPAÇO EDUCACIONAL,JMM Lima,Ibero,Ibero,"Americana de Humanidades, Ciências e…, 2022",https://www.periodicorease.pro.br/rease/article/view/3977
GESTÃO DA DIVERSIDADE: O PAPEL DO GESTOR ESCOLAR PROMOVENDO MELHORIAS NO PROCESSO DE ENSINO E APRENDIZAGEM,"MCCT da Silva, ÂMS Nardin",Ibero,Ibero,"Americana de…, 2022",https://www.periodicorease.pro.br/rease/article/view/6466
"Gestão, inovação, diversidade e consumo: impressões e desdobramentos",W Garcia,REGIT,2019,revista.fatecitaqua.edu.br,http://revista.fatecitaqua.edu.br/index.php/regit/article/view/REGIT12-a3
Desenvolvendo um modelo de gestao da diversidade étnico-racial para equipes de desenvolvimento de software,"MB Miranda, R Prikladnicki",do XII Congresso Brasileiro de Software,2021,sol.sbc.org.br,https://sol.sbc.org.br/index.php/cbsoft_estendido/article/view/17281
A gestão da diversidade e sua influência sobre a percepção dos empregados e sua identificação com a organização.,DWS Inacio ,2021,2021,monografias.ufop.br,http://monografias.ufop.br/handle/35400000/2937
"UMA ANÁLISE DA RELAÇÃO ENTRE A GESTÃO DA DIVERSIDADE, A LEGITIMAÇÃO INTERNA, O RESPEITO INTERNO PERCEBIDO EA IDENTIFICAÇÃO …","HB Ceribeli, DWS Inácio",Revista de Administração,2022,fundace.org.br,https://www.fundace.org.br/revistaracef/index.php/racef/article/view/780
Gestão da diversidade: um estudo de caso em uma organização agroindustrial,DC Silva ,2019,2019,repositorio.unesp.br,https://repositorio.unesp.br/handle/11449/190663
Mapeamento da produção científica sobre gestão da diversidade: comunicação e administração,LS Marques ,2021,2021,repositorio.unesp.br,https://repositorio.unesp.br/handle/11449/215308
Gestão da diversidade: estudo de caso no supermercado Arnica em Fortaleza-CE,"AKS Freitas, VM Alves ",2020,2020,repositorio.unifametro.edu.br,http://repositorio.unifametro.edu.br/handle/123456789/163
A gestão da diversidade LGBT+ ea humanização das organizações: um estudo de caso da P&G,DGV Espíndola ,2020,2020,bdm.unb.br,https://bdm.unb.br/handle/10483/28036
""" estrelas além do tempo"": um estudo observacional da gestão da diversidade organizacional",FAC Ferreira ,2018,2018,repositorio.ufc.br,https://repositorio.ufc.br/handle/riufc/37107
Representatividade e pertencimento: a percepção de trabalhadoras sobre as políticas de gestão de diversidade organizacional,"CS Nascimento, T Pires ",2021,2021,repositorio.animaeducacao.com.br,https://repositorio.animaeducacao.com.br/handle/ANIMA/18830
O desafio da convivência: assessoria de diversidade e apoio aos cotistas (2004-2008),JG Jesus,Psicologia: Ciência e Profissão,2013,SciELO Brasil,https://www.scielo.br/j/pcp/a/ttSJhxbX5NPN6rW3MRJsQpS/?lang=pt&format=html
Gestão da diversidade na biblioteca escolar: implicações no ODS 10 da Agenda 2030,"ES CAMILLO, BDO SILVA",Revista ACB; v. 26,…,brapci.inf.br,https://brapci.inf.br/index.php/res/v/168717
Gestão da diversidade no contexto organizacional: o deficiente no trabalho.,ÉC Araújo ,2018,2018,monografias.ufop.br,http://monografias.ufop.br/handle/35400000/1293
O desafio da diversidade,MJ Tonelli,GV,GV,"EXECUTIVO, 2018",https://pesquisa-eaesp.fgv.br/sites/gvpesquisa.fgv.br/files/arquivos/o_desafio_da_diversidade.pdf
Conteúdos sobre Gestão da Diversidade em Projetos Pedagógicos de Cursos de Graduação em Administração,ÍP Casemiro ,2014,2014,ri.unir.br,https://www.ri.unir.br/jspui/handle/123456789/891
Formação para gestão da diversidade caso de ensino “Compra Legal”,LBO Campos ,2019,2019,bibliotecadigital.fgv.br,https://bibliotecadigital.fgv.br/dspace/handle/10438/28213
Gestão da diversidade de gênero: uma análise da percepção dos futuros egressos do curso de administração.,EJO Souza ,2019,2019,monografias.ufop.br,http://monografias.ufop.br/handle/35400000/2296
A gestão da diversidade ea inserção do homossexual no mercado de trabalho na cidade de Caruaru PE.,KM SILVA ,2016,2016,repositorio.ufpe.br,https://repositorio.ufpe.br/handle/123456789/38459
Gestão da diversidade humana: um estudo em empresas da Serra Gaúcha frente ao imigrante eo multiculturalismo,E Grigoletto ,2019,2019,repositorio.ucs.br,https://repositorio.ucs.br/xmlui/handle/11338/4728
Gestão da Diversidade: Uma Gestão Necessária para Estimular a Inovação e Aumentar a Competitividade das Empresas de Contabilidade e Auditoria,"JA da Silva Cardoso, JR de Farias Filho… ",2014,2014,researchgate.net,https://www.researchgate.net/profile/Ualison-Oliveira/publication/279660477_Gestao_da_diversidade_uma_gestao_necessaria_para_estimular_a_inovacao_e_aumentar_a_competitividade_das_empresas_de_contabilidade_e_auditoria/links/5b1026834585150a0a5dfc68/Gestao-da-diversidade-uma-gestao-necessaria-para-estimular-a-inovacao-e-aumentar-a-competitividade-das-empresas-de-contabilidade-e-auditoria.pdf
GESTÃO DA DIVERSIDADE: A DESIGUALDADE DE GÊNERO EM UMA ORGANIZAÇÃO DO RAMO OFFSHORE EM MACAÉ/RJ,"LCM Valério, AS Figueiredo",Revista Femass,2021,revista.femass.edu.br,https://revista.femass.edu.br/index.php/femass/article/view/53
PRÁTICAS MODERNAS DA GESTÃO DE PESSOAS: VALORIZAÇÃO NA GESTÃO DAS DIVERSIDADES,OIR da SILVA,ANAIS DO FÓRUM DE,2017,seer.unifunec.edu.br,https://seer.unifunec.edu.br/index.php/forum/article/view/3113
"Uma análise da relação entre a gestão da diversidade, a identificação organizacional ea voz das minorias nas organizações.",BS Isidoro ,2019,2019,monografias.ufop.br,http://monografias.ufop.br/handle/35400000/2194
Gestão da diversidade nas melhores empresas para mulheres trabalharem: investigação a partir das práticas divulgadas,MT Bastos ,2014,2014,repositorio.fei.edu.br,https://repositorio.fei.edu.br/handle/FEI/238
Práticas de Gestão da Diversidade de pessoas com deficiência e/ou incapacidade:: O caso da Câmara Municipal da Póvoa de Varzim,"Â Teixeira, D Martins, AL Martinho",Conferência,Conferência,"Investigação e…, 2019",https://parc.ipp.pt/index.php/iirh/article/view/2826
"Conceitos, práticas e estudo de casos da gestão da diversidade em empresas do centro oeste paulista",FS Gordono ,2009,2009,repositorio.unesp.br,https://repositorio.unesp.br/handle/11449/94776
