Book,Authors,Jornal,Year,Publisher,Link
Python for beginners,E Shein ,Communications of the ACM,2015,dl.acm.org,https://dl.acm.org/doi/fullHtml/10.1145/2716560
 The python language reference,"G VanRossum, FL Drake ",****,2010,cse.unr.edu,https://www.cse.unr.edu/~sushil/class/381/notes/python/docs-pdf/reference.pdf
APLpy: astronomical plotting library in Python,"T Robitaille, E Bressert ",Astrophysics Source Code Library,2012,ui.adsabs.harvard.edu,https://ui.adsabs.harvard.edu/abs/2012ascl.soft08017R/abstract
 Python in a Nutshell,"A Martelli, AM Ravenscroft, S Holden, P McGuire ",****,2023,books.google.com,https://books.google.com/books?hl=en&lr=&id=2WSmEAAAQBAJ&oi=fnd&pg=PT28&dq=Python&ots=oUqXE1YA55&sig=WgHlEiYl_gsw_4_o22ta_MpKUWA
Image processing in python,P Umesh ,CSI Communications,2012,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=12957b2dbd5f03de67a7bf63753a13e95947b3bf#page=25
 A primer on scientific programming with Python,HP Langtangen ,****,2016,Springer,https://link.springer.com/content/pdf/10.1007/978-3-662-49887-3.pdf
 The quick Python book,N Ceder ,****,2018,books.google.com,https://books.google.com/books?hl=en&lr=&id=aTkzEAAAQBAJ&oi=fnd&pg=PT25&dq=Python&ots=P0UoAfN2vd&sig=k382fadUhHto2qAPtytPj5q1gQE
Pyteomics 4.0: five years of development of a Python proteomics framework,"LI Levitsky, JA Klein, MV Ivanov  ",Journal of proteome  ,2018,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/acs.jproteome.8b00717
The atomic simulation environment—a Python library for working with atoms,"AH Larsen, JJ Mortensen, J Blomqvist  ",Journal of Physics  ,2017,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1361-648X/aa680e/meta
 Python: a programming language for software integration and development,MF Sanner ,J Mol Graph Model,1999,academia.edu,https://www.academia.edu/download/25505223/10.1.1.35.6459.pdf
 PsychoPy—psychophysics software in Python,JW Peirce ,Journal of neuroscience methods,2007,Elsevier,https://www.sciencedirect.com/science/article/pii/S0165027006005772
 PyWavelets: A Python package for wavelet analysis,"G Lee, R Gommers, F Waselewski, K Wohlfahrt  ",Journal of Open Source  ,2019,theoj.org,http://www.theoj.org/joss-papers/joss.01237/10.21105.joss.01237.pdf
 Python for everybody,CR Severance ,****,2009,torontomu.ca,https://www.torontomu.ca/content/dam/information-technology-management/course-outlines/ITM200.pdf
 Python essential reference,DM Beazley ,****,2009,books.google.com,https://books.google.com/books?hl=en&lr=&id=Chr1NDlUcI8C&oi=fnd&pg=PR7&dq=Python&ots=OEIwwsiXCo&sig=zgLDIWXa-5nCe3huEU5oYQcj8MA
PyPSA: Python for power system analysis,"T Brown, J Hörsch, D Schlachtberger ",arXiv preprint arXiv:1707.09913,2017,arxiv.org,https://arxiv.org/abs/1707.09913
 pvlib python: A python package for modeling solar energy systems,"WF Holmgren, CW Hansen  ",Journal of Open Source  ,2018,joss.theoj.org,https://joss.theoj.org/papers/10.21105/joss.00884.pdf
"Python Materials Genomics (pymatgen): A robust, open-source python library for materials analysis","SP Ong, WD Richards, A Jain, G Hautier  ",Computational Materials  ,2013,Elsevier,https://www.sciencedirect.com/science/article/pii/S0927025612006295
 CosinorPy: a python package for cosinor-based rhythmometry,M Moškon ,BMC bioinformatics,2020,Springer,https://link.springer.com/article/10.1186/s12859-020-03830-w
 NEURON and Python,"M Hines, AP Davison, E Muller ",Frontiers in neuroinformatics,2009,frontiersin.org,https://www.frontiersin.org/articles/10.3389/neuro.11.001.2009/full
 Gensim—statistical semantics in python,"R Řehůřek, P Sojka ",Retrieved from genism. org,2011,Citeseer,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b55fe23d7290f59d14e51e7813f5950f5ff08b2b
An Introduction to Statistics with Python,T Haslwanter ,With Applications in the Life Sciences.. Switzerland  ,2016,Springer,https://link.springer.com/content/pdf/10.1007/978-3-319-28316-6.pdf
Logomaker: beautiful sequence logos in Python,"A Tareen, JB Kinney ",Bioinformatics,2020,academic.oup.com,https://academic.oup.com/bioinformatics/article-abstract/36/7/2272/5671693
 SymPy: symbolic computing in Python,"A Meurer, CP Smith, M Paprocki, O Čertík  ",PeerJ Computer  ,2017,peerj.com,https://peerj.com/articles/cs-103.pdf
 Python current trend applications-an overview,"AS Saabith, MMM Fareez, T Vinothraj ",International Journal of  ,2019,academia.edu,https://www.academia.edu/download/61390005/IJAERDV06I108548120191201-27336-1cr1jto.pdf
 Core python programming,W Chun ,****,2001,books.google.com,https://books.google.com/books?hl=en&lr=&id=mh0bU6NXrBgC&oi=fnd&pg=PR1&dq=Python&ots=XBnzEydYec&sig=bRuVXPk817le85YE1vl2sP1XHhs
 Effective Python,B Slatkin ,****,2019,books.google.com,https://books.google.com/books?hl=en&lr=&id=9kG4DwAAQBAJ&oi=fnd&pg=PT15&dq=Python&ots=8Maq4q7W7L&sig=ZmSWTs7zVpxCAtHw147MqExPcmY
MPI for Python,"L Dalcín, R Paz, M Storti ",Journal of Parallel and Distributed Computing,2005,Elsevier,https://www.sciencedirect.com/science/article/pii/S0743731505000560
PySAL: A Python library of spatial analytical methods,"SJ Rey, L Anselin ",Handbook of applied spatial analysis: Software tools  ,2009,Springer,https://link.springer.com/chapter/10.1007/978-3-642-03647-7_11
